index,dataset,num_filters
1,1,1
2,2,1
3,1,3
4,2,3
5,1,5
6,2,5
7,1,7
8,2,7
9,1,9
10,2,9
11,1,11
12,2,11
13,1,13
14,2,13
15,1,15
16,2,15
17,1,17
18,2,17
19,1,19
20,2,19
21,1,21
22,2,21
23,1,23
24,2,23
25,1,25
26,2,25
27,1,27
28,2,27
29,1,29
30,2,29
31,1,31
32,2,31
33,1,33
34,2,33
35,1,35
36,2,35
37,1,37
38,2,37
39,1,39
40,2,39
41,1,41
42,2,41
43,1,43
44,2,43
45,1,45
46,2,45
47,1,47
48,2,47
49,1,49
50,2,49
51,1,51
52,2,51
53,1,53
54,2,53
55,1,55
56,2,55
57,1,57
58,2,57
59,1,59
60,2,59
61,1,61
62,2,61
63,1,63
64,2,63
65,1,65
66,2,65
67,1,67
68,2,67
69,1,69
70,2,69
71,1,71
72,2,71
73,1,73
74,2,73
75,1,75
76,2,75
77,1,77
78,2,77
79,1,79
80,2,79
81,1,81
82,2,81
83,1,83
84,2,83
85,1,85
86,2,85
87,1,87
88,2,87
89,1,89
90,2,89
91,1,91
92,2,91
93,1,93
94,2,93
95,1,95
96,2,95
97,1,97
98,2,97
99,1,99
100,2,99
